Region,Country,Sex,Year,Prevalence of Obesity,Prevalence of Raised BP,Prevalence of Diabetes
North America,United States of America,Male,1990,0.169628235,0.211804602,0.056699552
North America,United States of America,Male,1991,0.175420291,0.206928949,0.058035132
North America,United States of America,Male,1992,0.175420291,0.202293031,0.059406382
North America,United States of America,Male,1993,0.187733473,0.197942227,0.060801729
North America,United States of America,Male,1994,0.194221424,0.193904907,0.062224296
North America,United States of America,Male,1995,0.200871469,0.190125712,0.063644935
North America,United States of America,Male,1996,0.207704296,0.186612216,0.065073424
North America,United States of America,Male,1997,0.214762985,0.183334062,0.06644578
North America,United States of America,Male,1998,0.222026666,0.180388214,0.067797662
North America,United States of America,Male,1999,0.229522934,0.177710356,0.069118784
North America,United States of America,Male,2000,0.237149618,0.175225703,0.070364508
North America,United States of America,Female,1990,0.207692945,0.153007303,0.04873834
North America,United States of America,Female,1991,0.213705984,0.150075475,0.049512641
North America,United States of America,Female,1992,0.219830693,0.147352211,0.050313103
North America,United States of America,Female,1993,0.225950759,0.144800951,0.051133153
North America,United States of America,Female,1994,0.23221012,0.142366851,0.051986014
North America,United States of America,Female,1995,0.238524744,0.140049823,0.052860272
North America,United States of America,Female,1996,0.244973402,0.137825711,0.05374673
North America,United States of America,Female,1997,0.251551306,0.135660973,0.054618061
North America,United States of America,Female,1998,0.258236094,0.133597783,0.055485641
North America,United States of America,Female,1999,0.265037645,0.131576478,0.056343188
North America,United States of America,Female,2000,0.271820691,0.129574268,0.057158949
North America,Canada,Male,1990,0.138725149,0.278253593,0.055022528
North America,Canada,Male,1991,0.143198418,0.273265376,0.055774517
North America,Canada,Male,1992,0.147678194,0.268233499,0.056476618
North America,Canada,Male,1993,0.152247945,0.263047176,0.057148338
North America,Canada,Male,1994,0.156992374,0.257814342,0.057773802
North America,Canada,Male,1995,0.161832277,0.252601059,0.058372306
North America,Canada,Male,1996,0.166795807,0.247308851,0.058944557
North America,Canada,Male,1997,0.17198884,0.241905626,0.059454538
North America,Canada,Male,1998,0.177474628,0.236552236,0.059923662
North America,Canada,Male,1999,0.183239225,0.231252389,0.060352212
North America,Canada,Male,2000,0.189282583,0.226036948,0.060748027
North America,Canada,Female,1990,0.164339949,0.194432471,0.043926278
North America,Canada,Female,1991,0.169234906,0.19072673,0.04438635
North America,Canada,Female,1992,0.174021977,0.187105763,0.044812835
North America,Canada,Female,1993,0.178881313,0.183452449,0.045231933
North America,Canada,Female,1994,0.183880636,0.179798172,0.045637009
North America,Canada,Female,1995,0.188952701,0.176145133,0.046019956
North America,Canada,Female,1996,0.194110294,0.172445281,0.046376101
North America,Canada,Female,1997,0.199524176,0.168648032,0.046706161
North America,Canada,Female,1998,0.205138444,0.164835448,0.046995711
North America,Canada,Female,1999,0.210952381,0.161021577,0.047251427
North America,Canada,Female,2000,0.216925367,0.157234155,0.047470968
Central Latin America ,Mexico,Male,1990,0.116085001,0.272571307,0.076973265
Central Latin America ,Mexico,Male,1991,0.120458659,0.270144748,0.078737999
Central Latin America ,Mexico,Male,1992,0.124969647,0.267836292,0.080577018
Central Latin America ,Mexico,Male,1993,0.129618877,0.26564382,0.082424299
Central Latin America ,Mexico,Male,1994,0.134346273,0.263493594,0.084292332
Central Latin America ,Mexico,Male,1995,0.138636715,0.261304086,0.086001475
Central Latin America ,Mexico,Male,1996,0.143010541,0.259017069,0.087625627
Central Latin America ,Mexico,Male,1997,0.147514841,0.256565747,0.089177032
Central Latin America ,Mexico,Male,1998,0.152169577,0.25405052,0.090647565
Central Latin America ,Mexico,Male,1999,0.156917636,0.251562798,0.092057373
Central Latin America ,Mexico,Male,2000,0.161907896,0.249115374,0.093483145
Central Latin America ,Mexico,Female,1990,0.19619234,0.268059996,0.077918091
Central Latin America ,Mexico,Female,1991,0.201195225,0.264260341,0.079798419
Central Latin America ,Mexico,Female,1992,0.206436043,0.26045442,0.081736426
Central Latin America ,Mexico,Female,1993,0.211855519,0.256616597,0.083721222
Central Latin America ,Mexico,Female,1994,0.217361973,0.252772751,0.085688484
Central Latin America ,Mexico,Female,1995,0.222170262,0.248929872,0.087513021
Central Latin America ,Mexico,Female,1996,0.227180331,0.244974588,0.089295672
Central Latin America ,Mexico,Female,1997,0.232432103,0.240944551,0.091038993
Central Latin America ,Mexico,Female,1998,0.237797439,0.236842023,0.092748242
Central Latin America ,Mexico,Female,1999,0.243163926,0.232682646,0.094395369
Central Latin America ,Mexico,Female,2000,0.248717351,0.228527231,0.096027915
Central Latin America ,Costa Rica,Male,1990,0.074880125,0.256487796,0.054676201
Central Latin America ,Costa Rica,Male,1991,0.078080264,0.254734422,0.055959101
Central Latin America ,Costa Rica,Male,1992,0.081581086,0.252909792,0.057248624
Central Latin America ,Costa Rica,Male,1993,0.085361705,0.251202273,0.058596013
Central Latin America ,Costa Rica,Male,1994,0.089306942,0.249485576,0.060013982
Central Latin America ,Costa Rica,Male,1995,0.093429904,0.247869101,0.061565946
Central Latin America ,Costa Rica,Male,1996,0.09758257,0.246336467,0.063209376
Central Latin America ,Costa Rica,Male,1997,0.101876761,0.244828995,0.06494507
